run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
101,beam_v1_256.mat,10,10.0,0.0001,196.1674041748047,2.4619598388671875,200.12,EXITOSO,outputs/20260623_024007_beam_v1_256
102,beam_v1_256.mat,10,10.0,1e-06,1766.43408203125,2.404365301132202,203.53,EXITOSO,outputs/20260623_024331_beam_v1_256
103,beam_v1_256.mat,10,100.0,0.01,26.549869537353516,2.4619803428649902,199.59,EXITOSO,outputs/20260623_024650_beam_v1_256
104,beam_v1_256.mat,10,100.0,0.0001,26.514497756958008,2.4619476795196533,201.22,EXITOSO,outputs/20260623_025011_beam_v1_256
105,beam_v1_256.mat,10,100.0,1e-06,257.1864013671875,2.40460467338562,197.65,EXITOSO,outputs/20260623_025329_beam_v1_256
106,beam_v1_256.mat,10,100000.0,0.01,0.026629742234945297,2.4617233276367188,201.41,EXITOSO,outputs/20260623_025651_beam_v1_256
107,beam_v1_256.mat,10,100000.0,0.0001,0.026600874960422516,2.461948871612549,201.34,EXITOSO,outputs/20260623_030012_beam_v1_256
108,beam_v1_256.mat,10,100000.0,1e-06,0.2509598135948181,2.423678159713745,201.24,EXITOSO,outputs/20260623_030333_beam_v1_256
109,beam_v1_256.mat,11,1.0,0.01,50.278236389160156,2.0045597553253174,216.86,EXITOSO,outputs/20260623_030710_beam_v1_256
110,beam_v1_256.mat,11,1.0,0.0001,59.40563201904297,2.176222085952759,220.08,EXITOSO,outputs/20260623_031050_beam_v1_256
111,beam_v1_256.mat,11,1.0,1e-06,373.79046630859375,2.8288471698760986,216.47,EXITOSO,outputs/20260623_031426_beam_v1_256
112,beam_v1_256.mat,11,10.0,0.01,991.82177734375,3.5340023040771484,213.96,EXITOSO,outputs/20260623_031800_beam_v1_256
113,beam_v1_256.mat,11,10.0,0.0001,987.1185302734375,3.666069746017456,218.93,EXITOSO,outputs/20260623_032139_beam_v1_256
114,beam_v1_256.mat,11,10.0,1e-06,1757.8936767578125,3.3943541049957275,217.5,EXITOSO,outputs/20260623_032517_beam_v1_256
115,beam_v1_256.mat,11,100.0,0.01,133.72918701171875,3.660348653793335,219.05,EXITOSO,outputs/20260623_032856_beam_v1_256
116,beam_v1_256.mat,11,100.0,0.0001,134.80435180664062,3.3680384159088135,217.38,EXITOSO,outputs/20260623_033233_beam_v1_256
117,beam_v1_256.mat,11,100.0,1e-06,240.84515380859375,3.3958613872528076,219.24,EXITOSO,outputs/20260623_033613_beam_v1_256
118,beam_v1_256.mat,11,100000.0,0.01,0.13529962301254272,3.412126064300537,217.12,EXITOSO,outputs/20260623_033949_beam_v1_256
119,beam_v1_256.mat,11,100000.0,0.0001,0.1352739930152893,3.228088855743408,217.25,EXITOSO,outputs/20260623_034327_beam_v1_256
120,beam_v1_256.mat,11,100000.0,1e-06,0.25151264667510986,3.4141197204589844,219.01,EXITOSO,outputs/20260623_034706_beam_v1_256
121,beam_v1_256.mat,12,1.0,0.01,43.98291015625,2.2972097396850586,226.58,EXITOSO,outputs/20260623_035053_beam_v1_256
122,beam_v1_256.mat,12,1.0,0.0001,43.98167419433594,2.301882028579712,228.55,EXITOSO,outputs/20260623_035441_beam_v1_256
123,beam_v1_256.mat,12,1.0,1e-06,358.3094787597656,2.969677686691284,225.86,EXITOSO,outputs/20260623_035827_beam_v1_256
124,beam_v1_256.mat,12,10.0,0.01,196.37921142578125,3.9834117889404297,231.79,EXITOSO,outputs/20260623_040219_beam_v1_256
125,beam_v1_256.mat,12,10.0,0.0001,196.16714477539062,3.9835259914398193,225.89,EXITOSO,outputs/20260623_040605_beam_v1_256
126,beam_v1_256.mat,12,10.0,1e-06,1764.960693359375,3.9593288898468018,226.34,EXITOSO,outputs/20260623_040951_beam_v1_256
127,beam_v1_256.mat,12,100.0,0.01,26.5340633392334,3.984010934829712,227.1,EXITOSO,outputs/20260623_041338_beam_v1_256
128,beam_v1_256.mat,12,100.0,0.0001,108.79920196533203,3.988877058029175,223.84,EXITOSO,outputs/20260623_041722_beam_v1_256
129,beam_v1_256.mat,12,100.0,1e-06,229.99266052246094,3.980255365371704,225.62,EXITOSO,outputs/20260623_042107_beam_v1_256
130,beam_v1_256.mat,12,100000.0,0.01,0.026637719944119453,3.9833273887634277,227.91,EXITOSO,outputs/20260623_042456_beam_v1_256
131,beam_v1_256.mat,12,100000.0,0.0001,0.10916903614997864,3.98909592628479,220.82,EXITOSO,outputs/20260623_042836_beam_v1_256
132,beam_v1_256.mat,12,100000.0,1e-06,0.2197021245956421,3.979233741760254,218.98,EXITOSO,outputs/20260623_043215_beam_v1_256
133,beam_v1_256.mat,13,1.0,0.01,83.7271957397461,8.327588081359863,240.18,EXITOSO,outputs/20260623_043615_beam_v1_256
134,beam_v1_256.mat,13,1.0,0.0001,90.58758544921875,8.279534339904785,243.83,EXITOSO,outputs/20260623_044019_beam_v1_256
135,beam_v1_256.mat,13,1.0,1e-06,382.88873291015625,9.352971076965332,242.03,EXITOSO,outputs/20260623_044421_beam_v1_256
